#	word	セット	意味		
203	draspo	swadesh	"father, 父, ちち"		
204	fluspu	swadesh	"animal, 生き物, いきもの"		
205	blaspa	swadesh	"snake, 蛇, へび"		
206	trinti	swadesh	"forest, 森, もり"		
207	grasto	swadesh	"stick, 枝, えだ"		
208	frispi	swadesh	"flower, 花, はな"		
209	klunku	swadesh	"grass, 草, くさ"		
210	flosku	swadesh	"rope, 縄, なわ"		
211	krinki	swadesh	"leg, 脚, あし"		
212	plenti	swadesh	"wing, 翼, つばさ"		
213	fruski	swadesh	"guts, 腸, はらわた"		
214	klontu	swadesh	"back, 背, せ"		
215	brasko	swadesh	"to suck, 吸う, すう"		
216	klempi	swadesh	"to spit, 吐く, はく"		
217	klelta	swadesh	"to vomit, 吐く, はく"		
218	plonku	swadesh	"to blow, 吹く, ふく"		
219	klulpo	swadesh	"to breathe, 息する, いきする"		
220	krunti	swadesh	"to laugh, 笑う, わらう"		
221	plumpu	swadesh	"to think, 思う, おもう"		
222	trumpi	swadesh	"to smell, 嗅ぐ, かぐ"		
223	klirki	swadesh	"to fear, 恐れる, おそれる"		
224	plelka	swadesh	"to cut, 切る, きる"		
225	plulto	swadesh	"to stab, 刺す, さす"		
226	primpi	swadesh	"to scratch, 掻く, かく"		
227	prunki	swadesh	"to dig, 掘る, ほる"		
228	glimpu	swadesh	"to turn (自動詞), 回る, まわる"		
229	blintu	swadesh	"to fall, 落ちる, おちる"		
230	plirpi	swadesh	"to squeeze, 絞る, しぼる"		
231	glilte	swadesh	"to rub, 擦る, こする"		
232	klurti	swadesh	"to wash, 洗う, あらう"		
233	glonko	swadesh	"to wipe, 拭く, ふく"		
234	drenki	swadesh	"to pull, 引く, ひく"		
235	druntu	swadesh	"to push, 押す, おす"		
236	glelke	swadesh	"to throw, 投げる, なげる"		
237	plurki	swadesh	"to tie, 結ぶ, むすぶ"		
238	tranke	swadesh	"to sew, 縫う, ぬう"		
239	grunku	swadesh	"to count, 数える, かぞえる"		
240	fraste	swadesh	"to sing, 歌う, うたう"		
241	blilke	swadesh	"to float, 浮く, うく"		
242	klalka	swadesh	"to flow, 流れる, ながれる"		
243	glolpa	swadesh	"to freeze, 凍る, こおる"		
